iter	Logloss
0	0.5041505563
1	0.4056769894
2	0.3535056894
3	0.3247100218
4	0.3072902734
5	0.2966779932
6	0.2897124252
7	0.284372791
8	0.2812905732
9	0.2787006747
10	0.2763252461
11	0.274776522
12	0.27352263
13	0.2723991833
14	0.2715619795
15	0.2712099005
16	0.2706475985
17	0.2702801286
18	0.2696102843
19	0.2692691708
20	0.2689400784
21	0.26869086
22	0.2683168581
23	0.2680770783
24	0.267812028
25	0.2675888352
26	0.2674929371
27	0.267395563
28	0.2673335438
29	0.2672860207
30	0.2672187092
31	0.2670925922
32	0.2670128567
33	0.2669659036
34	0.2669033872
35	0.2668370026
36	0.2667918115
37	0.2667026956
38	0.2666519714
39	0.2665093928
40	0.2664638432
41	0.2664089226
42	0.2663683135
43	0.2663234114
44	0.2662895255
45	0.266250775
46	0.2662089855
47	0.2661643638
48	0.2661250587
49	0.2660844025
50	0.2660522655
51	0.2660077146
52	0.2659735198
53	0.2659297361
54	0.2658965293
55	0.2658688608
56	0.2658486781
57	0.2658050867
58	0.2657430496
59	0.2656955217
60	0.265666115
61	0.2656350064
62	0.2656029228
63	0.26558213
64	0.2655673594
65	0.2655363632
66	0.2655108983
67	0.2654666508
68	0.2654390187
69	0.2653709186
70	0.2653422958
71	0.2653246113
72	0.2653029668
73	0.2652808721
74	0.2652535006
75	0.2652404503
76	0.2652186428
77	0.2651994901
78	0.2651789152
79	0.2651635253
80	0.2651460289
81	0.2651242974
82	0.2651018629
83	0.265081874
84	0.2650486574
85	0.2650291283
86	0.2649758212
87	0.2649581405
88	0.2649324528
89	0.2648994675
90	0.2648795862
91	0.2648590359
92	0.2648322164
93	0.2648051391
94	0.2647952252
95	0.264787783
96	0.2647641823
97	0.2647379514
98	0.2647207788
99	0.2646972195
100	0.2646776318
101	0.264658676
102	0.2646389276
103	0.2646180143
104	0.2645832618
105	0.264569033
106	0.2645483756
107	0.2645194244
108	0.264471673
109	0.2644512329
110	0.2644109052
111	0.2643987652
112	0.2643737602
113	0.2643467611
114	0.2643032792
115	0.2642788699
116	0.2642647471
117	0.2642421773
118	0.2642170682
119	0.2641986967
120	0.2641802151
121	0.2641554242
122	0.2641470427
123	0.2641325332
124	0.2641091612
125	0.2640854426
126	0.2640714637
127	0.2640501884
128	0.2640320835
129	0.264013115
130	0.2639975241
131	0.2639801304
132	0.2639645449
133	0.2639268667
134	0.2638973534
135	0.2638796724
136	0.2638521488
137	0.2638348594
138	0.2638223751
139	0.2638089755
140	0.263792692
141	0.2637712647
142	0.2637474227
143	0.2637159029
144	0.2637005087
145	0.2636813341
146	0.2636675578
147	0.263643722
148	0.2636123391
149	0.263589251
150	0.2635640304
151	0.2635431851
152	0.2635284084
153	0.2635100826
154	0.2634934758
155	0.2634761256
156	0.2634662721
157	0.2634350569
158	0.2634154782
159	0.2633921028
160	0.2633696535
161	0.2633494108
162	0.2633341803
163	0.2633134453
164	0.2632972372
165	0.2632748884
166	0.2632557705
167	0.2632407547
168	0.2632288411
169	0.2632106405
170	0.263192087
171	0.2631742903
172	0.2631611884
173	0.2631461457
174	0.2631242968
175	0.263106331
176	0.263089939
177	0.2630735279
178	0.263057895
179	0.2630342928
180	0.2630112294
181	0.2629980938
182	0.2629820747
183	0.2629594728
184	0.2629484281
185	0.2629337857
186	0.2629020953
187	0.2628890803
188	0.2628702266
189	0.2628325243
190	0.2628202884
191	0.2628107209
192	0.2627917341
193	0.2627729942
194	0.2627603487
195	0.2627417112
196	0.2627258274
197	0.2627129314
198	0.2626909411
199	0.2626790536
200	0.2626635051
201	0.2626417578
202	0.2626250528
203	0.2626066874
204	0.2625975582
205	0.2625817017
206	0.2625653232
207	0.262554948
208	0.262541917
209	0.2625223879
210	0.2624998692
211	0.2624806
212	0.262462012
213	0.262449599
214	0.2624389323
215	0.2624278858
216	0.2624085152
217	0.2623941856
218	0.2623795506
219	0.2623679216
220	0.2623473041
221	0.2623300905
222	0.2623143401
223	0.2623088709
224	0.2622950437
225	0.2622861514
226	0.262264375
227	0.2622483398
228	0.2622298772
229	0.2622182847
230	0.2622008616
231	0.2621832059
232	0.2621706728
233	0.2621499405
234	0.2621365129
235	0.2621206821
236	0.262098566
237	0.2620802164
238	0.2620668886
239	0.2620522319
240	0.2620380014
